ID,text,date,label_name
831,Every CIX music video is #CIXPENSIVE  #CIX_TESSERACT #CIX #씨아이엑스 {@CIX@} {@CIXOfficial@},2021-06-27,pop_culture
1599,"Challenging conditions today, but Mansel Davies have once again done the job for us and collected milk for Glanbia Cheese with minimal disruption. Diolch {{USERNAME}} and team.",2021-01-24,daily_life
44,michael chaves desgr4çad0  My ★★★★ review of The Conjuring: The Devil Made Me Do It on {@Letterboxd@} : {{URL}},2021-06-05,pop_culture
615,. hii friends {@Zane Lowe@} i would love to hear Won t kill me by {{USERNAME}} on New Music Daily TY!! #WKMonNMD,2021-06-27,pop_culture
2108,Winter solstice 2019: A short day that s long on ancient traditions {{URL}} via {@CNN Travel@},2019-12-22,daily_life
762,"Box Office:  Bad Boys for Life  Zooms to $68M,  Dolittle  Bombs With $30M {{URL}} via {@The Hollywood Reporter@} ",2020-01-19,pop_culture
2147,". {@BTS_twt@}  Permission to Dance  on Spotify  Day 1: 13,491,639 Day 2: 11,021,531 (NEW)  Total: 24,513,170",2021-07-11,pop_culture
2874,Jets RB Le Veon Bell aims shot at Jamal Adams after trade saga - via {@ESPN@} App {{URL}},2020-07-26,sports_&_gaming
2062,. {@DiscoverySA@} CEO #RYANNOACH felt the heat and ran out the kitchen  {{USERNAME}} Great interview {@Carte Blanche@} Discovery are roques finish en klaar.,2021-07-25,business_&_entrepreneurs
493,Sooo the 120 new songs come out at midnight???? I guess that means I’ll be up all night again ( {{USERNAME}} ),2020-09-27,pop_culture
3008,"Marc Murphy should be getting a 1 week holiday courtesy of MRO, not just a 50m penalty for almost  breaking the ribs  of Jake Carlisle late in the 4th #aflbluessaints Someone get a video? That was far harder than Zach Merretts love tap! #LetsBeConsistent #afl {@AFL@} ",2020-07-02,sports_&_gaming
692,Fox News talking about {{USERNAME}} this morning. Didn’t know my pal was a racist!,2020-06-30,pop_culture
113,Preserving and Protecting the Line of David {{URL}} via {{USERNAME}},2021-03-21,daily_life
2748,"VCU was pulled from the NCAA Tournament on Saturday after what the school said were “multiple” positive COVID-19 tests within the past two days, ending the Rams  run in college basketball s annual showcase before it began. {{URL}} via {@WSPA 7News@} ",2021-03-21,sports_&_gaming
1084,"Happy mother s day to my sister {{USERNAME}} , Payten is yo clone fr I wouldn t have wanted it any other way",2020-05-10,daily_life
2050,"Oooh. So this is the story of  Ours , no wonder na sobrang iba yung tune nya haha. Ang galiiing! This is actually one of my fave songs of {@Ben Ben@} hehe. You guys did so well!! {{URL}} ",2019-10-27,pop_culture
488,Happy mothers day to all you beautiful mums out there {{USERNAME}},2020-03-22,daily_life
1411,"MLB *Game 2 of 3 (1-1) Yankees 7 White Sox 5 Final/10 innings {@Chicago White Sox@} 68-49 (L1 streak) 1st in AL Central {@New York Yankees@} 64-52 (W1 streak) 3rd in AL East  Series: 1,086-853, Yankees W1 streak, Yankees 2021 season: 4-1, Yankees",2021-08-15,sports_&_gaming
2229,"Bob Marley - Work [05] {{URL}} via {@YouTube@} Love this song, reminds me of my uncle Qani Skoti ",2020-02-09,pop_culture
1380,"The mad world of UFC 249: No fans, fighters hearing pundits ..  MailOnline - Coronavirus - News - Noticias - Bitcoin - CryptoCurrency - Forex - {{USERNAME}} > {{URL}} ",2020-05-10,sports_&_gaming
502,Trump Supporters Swarm Outside Bill Barr’s House To Demand He Arrest Biden {{URL}} via {{USERNAME}} Report,2020-11-01,pop_culture
600,on {@YouTube@} : Will WRECKER Execute ORDER 66 After Hitting His Head? (Strong Evidence) - Star Wars: The Bad Batch {{URL}},2021-05-16,pop_culture
398,"Blasting this track from {{USERNAME}} is transporting to a hot summer day cruising down Lake Shore Drive, windows down and your best friend yelling the lyrics beside you. {{URL}} ",2020-08-02,pop_culture
788,De La Soul - All Good (feat. Chaka Khan) [Official Music Video] {{URL}} via {@YouTube@} This is greatness,2021-02-28,pop_culture
3146,"Watching the XFL got me thinking why {@Johnny Manziel@} isn’t on my screen rn, come to find out people had my same thoughts for yesterday’s games and my mans had the time ✊",2020-02-09,sports_&_gaming
1499,Closer   {{URL}} 10 Years Later  {{URL}} That Person Must Be You  {{URL}} #winmetawin {@Winmetawin@} #แค่ไหนก็ใกล้1M,2021-05-23,pop_culture
2266,Teumes we still didn t trend the red carpet alreadt want to start TREASURE AT SMA #TREASURE_at_SMA {@TREASURE@} #TREASURE #트레저,2021-01-31,pop_culture
14,"Honing your voice, refining the details, and making your writing shine. Check out {{USERNAME}} {{URL}} #SPShow.",2021-03-21,pop_culture
1454,Linebacker Chazz Surratt Would Be a Foresight Pick by the Chiefs {{URL}} via {{USERNAME}},2021-02-10,sports_&_gaming
3165,"Dear {@TLC Network@} , We are going to need to break up if you keep showing commercials for your absolutely DISGUSTING show about peoples horrible feet. Honestly.... who in your marketing department said yes to this? FIRE THEM. #90DayFinance",2020-02-17,pop_culture
1840,Extremely Delighted To Release Thala #Ajith Sir’s 28th Year Anniversary Common DP   I m Sure All the #Thala fans Online Will celebrate this CDP {{USERNAME}} #28YrsOfAjithismCDPBlast #Valimai,2020-07-26,pop_culture
2300,The Naya Rivera Arrested After Allegedly Striking Husband In The Head & Bottom Lip Daily est en ligne! {{URL}} Merci à {{USERNAME}} {@Page Six@} #glee #nayarivera,2021-07-12,pop_culture
1581,The Bucks have to be considered a major disappointment if you look at the last two Playoff years. Is there enough talent there? Maybe a coaching change is required? Giannis might be MVP but the Deer don’t have a Lowry or a Butler. And they need a guy like that. {{USERNAME}},2020-09-06,sports_&_gaming
716,"1) It ll be very interesting to see how {@Telcoin@} handles the next few days  It is clear that the app is needed now.  Not in a month. If you keep waiting and assuming holders will put up with it, there may not be enough TEL in circulation to reach $5mm. {{USERNAME}} {{USERNAME}} ",2021-07-11,science_&_technology
326,I remember when {@The Chosen One I YOU FRESHIE 4EVER@} had {@Drizzy@} dancing in his music video lmao,2019-11-10,pop_culture
2795,New {@Marshall Mathers@} album is and the only people that don t think so are mumble rap loving 12 year olds.  That s just fax,2020-01-19,pop_culture
2518,Entering the decade with a dress that makes me feel  . . . Dress  {{USERNAME}} . . . Shoes  {@ShoeDazzle@} . . . Photo  credit - {{USERNAME}} . . . I wrote out #newyearsresolutions then deleted them because… {{URL}},2020-01-01,daily_life
1721,"Mike Tyson, 54, vows to fight again after bout against Roy Jones Jr., 51, ruled a draw - via {@ESPN@} App {{URL}} ",2020-11-29,sports_&_gaming
411,"Kobe might have passed away, but I’m gonna stay strong and live on with #MambaMentality #RIPMambaAndGianna {{USERNAME}} ",2020-01-28,sports_&_gaming
2451,"Ok so if you re looking for a good rom-com / a great movie in general, I recommend The Map of Tiny Perfect Things ( {@The Map of Tiny Perfect Things@} ) . Really good job {@KATHRYN NEWTON@} {{USERNAME}} {{USERNAME}} {@Lev Grossman@} and all involved!!! Loved it.",2021-02-28,pop_culture
758,Happy Easter {@Cher@} . I hope you have a great and wonderful Easter Cher. And I also hope that you find a lot of chocolate Easter eggs and bunny rabbits. Are you spending Easter with your Mom Cher? I am. We had spaghetti for Easter dinner.,2020-04-12,daily_life
1825,"Seriously {{USERNAME}} {{USERNAME}} , do you know of any place that offers a real corned beef sandwich on the peninsula? For St. Patty s Day, that s really all I want. Last year, instead of traditional boil, I baked - it was a revelation. This year the stores were cleaned out.",2021-03-17,arts_&_culture
1952,Deckchair Poets with Iced Buns from album Always Piste at Christmas now playing on the #progmill {{USERNAME}} {{URL}} Our final track of the decade! Finishing on a laugh!,2019-12-29,pop_culture
1095,"The doors are officially open NOW!! Come say hi and show him some love to {{USERNAME}} , maybe help us with a follow.  Making the world a better place 1 stream at a time. {{URL}} #Twitch #twitchaffiliate #SmallStreamerCommunity #SmallStreamersConnect #theducks #bighew",2019-10-06,pop_culture
2908,Omg!! {@Damien Cook@} never giving up! Well done. #GoRabbitohs,2020-06-19,sports_&_gaming
457,The Internet Wants Issa Rae and John Cho to Host the 2020 Oscars {{URL}} {{USERNAME}},2020-02-16,pop_culture
1806,Read: Alan Pergament ( {{USERNAME}} ) reviews the Bills announcers {{URL}},2019-12-22,sports_&_gaming
427,Iowa State from the Big12 at 8-3 overall & 8-1 in their confrence sitting atop the Big12 standings yet lost the Big12 Championship game to Oklahoma  vs Oregon the Pac12 Champions at 4-2 overall and 4-2 in confrence play in the 2021 {@PlayStation Fiesta Bowl@},2020-12-20,sports_&_gaming
1509,"Campers, show some love and help us send our #DJ {{USERNAME}} and {{USERNAME}} off to China in style!!! We are blessed that this busy, authentic, dedicated music man also loves and believes in the work of #teachers Have a Great trip #djmilnyc #chinaaintready",2019-10-06,pop_culture
2507,#ON by #BTS ft. {{USERNAME}} is the perfect match for tonight s #MostRequestedLive Thank you {@Most Requested Live@}   #BoyWithLuv #BestMusicVideo #iHeartAwards {@BTS_twt@},2020-02-23,pop_culture
1875,Metric Time and Non-Metric Time: The Speed of Light.   An {{USERNAME}} essay. Forgot to put the URL.  Here it is: {{URL}} The full essay.,2020-04-19,science_&_technology
346,Rod wave dude came out of the woods throwing haymakers this kid is unbelievable bro  straight music that hits the soul {@RodWave@},2020-04-05,pop_culture
2635,POP or DROP #KellyClarkson  is back with new music! You can listen to the full song and let us know know if this song should POP on Z or if we should DROP it?  Listen then tweet us with POP or DROP!  - {{USERNAME}} {{URL}},2020-04-19,pop_culture
141,"Naya Rivera Search Will Include Cabins on Lake Piru, Intensity Lessens {{URL}} via {@TMZ@} ",2020-07-12,pop_culture
1708,Had a {{USERNAME}} cigar before the big game tonight. Remembered why I love them so much!!!,2020-02-02,sports_&_gaming
1648,Xbox Game Showcase | Halo Infinite | State Of Decay 3 | Fable | Forza | ... {{URL}} via {@YouTube@} y’all tune in WWP and help them hit 2K viewers,2020-07-26,sports_&_gaming
3118,Trump Supporters & Protesters Outside Philadelphia Vote Counting—Jordan ... {{URL}} via {@YouTube@} #Philadelphia #electionprotest #ElectionResults2020,2020-11-05,pop_culture
883,New Music: {@For Times We Lost EP@} and {@KiDi@} Share  Feelings  on New Song {{URL}} #Boombuzzgh,2021-08-27,pop_culture
1780,The boys of {{USERNAME}} display a wide range of technical musical abilities on this track. A strong opener to the album and introduction for what s to come. #TheMidnightEmotion {{URL}},2019-10-06,pop_culture
1907,The latest The Movie theater Daily! {{URL}} Thanks to {{USERNAME}} {{USERNAME}} {{USERNAME}} #lunchtimeread #amc1000,2021-03-07,pop_culture
507,Lost power today for a few hours. Thankfully it came back on at 5:57. Just in time to watch {@Pitt Men s Soccer@} ! Thankful for the crews that got out in the nasty weather to restore the power,2020-11-15,sports_&_gaming
2358,"The king of Clay {@Rafa Nadal@} takes it, he wins his 12th Barcelona {@Barcelona Open Banc Sabadell@} title.. It took 3 hours 38 minutes with a 2-1 victory ( 6-4; 6-7; 7-5).. #BCNOpenBS #ATP #atptour",2021-04-25,sports_&_gaming
997,“I have $50 on the cowboys tonight” - El Filosofo {{USERNAME}},2020-09-13,sports_&_gaming
1490,The Suicide Squad was a masterpiece. {@James Gunn@} has done it again with allowing his creativity to thrive. The vfx work for action and letting the world flow together was done amazingly by Weta digital and other studios. Can confidently say it was 9.5/10. Hopefully more?,2021-08-08,pop_culture
1424,RIP Naya Rivera you beautiful talented soul. My heart absolutely breaks for you and your family {@Naya Rivera@},2020-07-13,pop_culture
175,i cannot put into words how much i love #HowLongDoYouThinkItsGonnaLast {@Big Red Machine@} every time i listen i fall in love with a new song. thank you for creating this absolute masterpiece ♥️♥️♥️ {@Aaron Dessner@} {@Bon Iver@} {@Taylor Swift@} cannot wait for what you’ll do in the future,2021-08-29,pop_culture
121,Rugby s World XV of the decade - Which players have excelled over the past 10 years? | {{USERNAME}} {{URL}},2019-12-31,sports_&_gaming
1603,So where’s the #HeN200 thread? Me & {{USERNAME}} have a collab to drop in a few hours.   ✨,2021-07-18,pop_culture
1023,J Lo fans trying to steal an Oscar award just to hand it over to their heartthrob is definitely out of the blue thing to do. #JenniferLopez #Oscar2020 #FanMoment {{URL}} via {{USERNAME}},2020-02-10,pop_culture
3089,"While the World is dancing to ‘Naari Naari’, I am still hungover on ‘Vaseegara’.. Please Please bring the audio to Apple Music.. {@Jonita@} #TeamJonita",2019-10-20,pop_culture
2708,Cause we dont need permission to dance {@BTS_twt@},2021-07-11,pop_culture
1519,"ICYMI:  The guys recapped the 1st Half of the NBA season on the {{USERNAME}} on {@Dash Radio@} ! Be sure to go listen! Subscribe, Share, Rate and Review! Thanks friends! {{USERNAME}} #NBA #NBATwitter #NBATwitterLive {{URL}} ",2021-03-03,sports_&_gaming
566,Bills Player After Cowboys Win: “I See Why You Don’t Pay Dak” {{URL}} via {{USERNAME}},2019-12-01,sports_&_gaming
558,"Reposted from {{USERNAME}} Happy Mothers day! 《Grandma, mother, daughter, sister, aunty》❤  #mother  #mothersday #mothersday2020 {{URL}} ",2020-03-22,daily_life
206,". {@Damian Lillard@} Releases New Album  Different On Levels The Lord Allowed  Ft. Lil Wayne, Blxst, Q-Tip, Snoop Dogg, More  Stream  {{URL}} ",2021-08-20,pop_culture
1098,"The heat islands are a recurring phenomenon of climate change. How to fight against them? Discover the solution proposed by {{USERNAME}} and {@VINCI Autoroutes@} , winner of the infrastructure award #GreenSolutions Awards #ClimateChange #ClimateAction #UNGA {{URL}} ",2019-09-24,science_&_technology
226,"Shoutout to {@Ron Rivera@} for breaking barriers, hiring the first African American Female full-time coach in the NFL Jennifer King",2020-02-09,sports_&_gaming
2583," {{URL}} If you re struggling with Depression or suicidal thoughts please hear this message from {@Louie Giglio@} ! You may not be ok, but Jesus is! Remember:  you are important, you are valued, your life matters!!",2019-11-10,daily_life
1892,"Watched the FA Cup Final last night,as I do every year How great to see {@Leicester City@} lift the Trophy,well deserved Great to see the fans back,atmosphere,noise credit on both sides The FA Cup was always magic when I was a kid and still is in my book The proof is in their tears #FACup",2021-05-16,sports_&_gaming
944,"“While the Bank made important commitments to ensure its financing does not actively support discrimination, rigorous monitoring will be required to ensure that pregnant schoolgirls’ fundamental right to equal access to education  “- {@Maria Sarungi Tsehai@} #ArudiShule #ElimuBilaUbaguzi",2020-04-19,business_&_entrepreneurs
1027,Disappointed at the results of the last two fights of UFC 251! {@Max Holloway@} got robbed from his tital and a 6 day notice led to a disappointing performance form Jorge ‍♂️20lbs cut in 6 days!,2020-07-12,sports_&_gaming
269,"At this time when the internet is not able to run properly, {{USERNAME}} {@Shivraj Singh Chouhan@} wants to take exam! When RGPV is not even able to declare the result properly without crashing the site. {@Dr Ramesh Pokhriyal Nishank@} {@Higher Education Department MP@} #ExamsInCovidASuicide #SayNoToUGCGuidlines {@Kamal Nath@} ",2020-07-19,science_&_technology
2716,"While I will beat the #NFL refs into the ground for SBLIV, I will of course congratulate {@Kansas City Chiefs@} . AFL fan and historian, I cannot go into detail how I admire LHunt and what he did for the present day #NFL. Mahomes is special and anyone who says otherwise is a moron #Endoftheyear",2020-02-03,sports_&_gaming
2208,The Game AI Show is live now - come listen to {@Luke Dicken@} deconstruct #GameAI and #GameDev! {{URL}},2019-09-08,sports_&_gaming
3033,Why is everyone glossing over {@ProFootballTalk@}  s Mike Florio s accusation that the Browns had bounties on Steelers players?  Pretty serious accusations.,2019-11-22,sports_&_gaming
2278,Wow... Within 15 mins it s trending at No.1 spot in india... The power of twitter king {@Sidharth Shukla@} and his kingdom.  Keep roaring fam!  . . #SidharthHits1MOnTwitter,2021-01-31,pop_culture
135,Rockin the white {@Gary Harris@} jersey tonight. I ain’t forget about u bra,2021-05-23,sports_&_gaming
64,Watch “The Velvet Underground-Who Loves The Sun” by {{USERNAME}} on #Vimeo {{URL}},2021-02-07,pop_culture
2390,Pag-Ibig Fortune Cookie - MNL48 (Music Video) {{URL}} via #HappyEckaDay #OurHappinessEcka || {@MNL48@},2020-05-05,pop_culture
2509,Greta Thunberg - Inspiring Others to Take a Stand Against Climate Change... {{URL}} via {@YouTube@} #GretaThurnberg,2019-09-25,science_&_technology
2201,So far I love on {@Disney@} The Imagineers and The World According to Jeff Goldblum the most. These two shows are really a delight. Did not expect that actually and I have to say I am a bit disappointed so far in The Mandalorian. I hope that that show will get better.,2019-11-17,pop_culture
414,"Fox News host Tucker Carlson said the  hysteria” of the Black Lives Matter movement was like a pandemic. “The Fox News personality likened the “hysteria” of the movement to a pandemic and claimed, “Minneapolis was our Wuhan.” {{URL}} #PurposeProfit {@HuffPost Politics@} ",2020-07-03,pop_culture
2667,"Every time ot6 come together and feel that heavy absence, at home too, every time they see a MBB , how long can we lie to ourselves. He HAS  to come back Stay strong Monbebes♥️ #SteadfastForMX7 #왜_시작했는지_잊지마 {@MONSTA X@} ",2019-12-01,pop_culture
2513,"Red Hot {@Red Hot ChiliPeppers@} , Patti Smith and more are set to participate in the #PathwayToParis Earth Day livestream concert. See the full lineup below! {{URL}} ",2020-04-23,pop_culture
2604," You can t change the direction of the wind, but you can adjust your sails to always reach your destination.  —Jimmy Dean via {{USERNAME}} ",2021-03-07,arts_&_culture
743,"so yes i was buzzed, watching legoshi plays VRchat with a friend of mine, {{USERNAME}} is running towards a building, and i go “what? what is that?” and legoshi turns towards the camera and says “its the bathhouse from spirited away!” and my first instinct was to say “thanks”",2021-08-15,sports_&_gaming
476,"The winter solstice, and how you can watch Monday s  great conjunction  {{URL}} via {@KARE 11@} ",2020-12-21,arts_&_culture
1798,Charm City Kings is . S/o {@Meek Mill@} & the rest of the Cast Members. {@CharmCityKings@} Great Production : Will Smith & {@Jada Pinkett Smith@},2020-10-11,pop_culture
1866,The CDC has confirmed that it is safe to watch {@Twitch@} without a mask on!,2021-05-16,daily_life
1482,"I don’t care. you gave him a shot, he is struggling put Joey in and see what he has to offer. This is the game  you decide who you want starting the Mississippi state game. {@Coach Gus Malzahn@} ‍♂️",2019-09-08,sports_&_gaming
1129,‘Star Wars: Rise of Skywalker’ Rules Christmas Day Box Office {{URL}} via {@Variety@},2019-12-26,pop_culture
271,Keep going Ras life babii {{USERNAME}} ha? Naa rako always mosupporta nimo  I LOVE YOU ALWAYS ❤️,2021-06-20,daily_life
1779,"Though #TheRiseOfSkywalker only just met my already low expectations, I m still grateful for #StarWars and all that it has given me over the years.  I wrote this for {{USERNAME}} just before #TheForceAwakens came out, but it s still appropriate. {{URL}} ",2019-12-25,pop_culture
369,so excited for {@Niall Horan@} ’s new album to come out this Friday! Tweet #HeartbreakWeather to unlock a preview of a new song and pre-order the album here {{URL}},2021-08-27,pop_culture
981,"Suns win behind Devin Booker.  Kendall done slapped the goodies on Devin, he plying out of his mind. Or with CP3 out of his mind. He’s the winner now. A little dab will do ya’ {@Paddy Power@} are staking Kendall {@Philadelphia 76ers@} {@FOX 29@} {@The Philadelphia Inquirer@} {@NBC Sports Philadelphia@} {{URL}} ",2021-06-21,sports_&_gaming
1256,ALPHA BETAS WAS FIRE KEEP UP THE HARD WORK {@Marcel@} {@Tyler Code WILDCAT@} {@VanossGaming@} {@TRRORISR@},2021-03-14,sports_&_gaming
1590,"I just waited over half an hour in a 16 car deep {@Jack in the Box@} drive thru line which is literally the only open business in town right now and they closed right behind me, and I wanna feel bad for the other people in line but I m not feeling particularly sympathetic.",2021-08-01,daily_life
720,Somebody send the offensive staff a copy of {@Warren Sharp@} because it seems like they love calling plays to get to 3rd and long,2019-10-06,sports_&_gaming
2013,HMU for Quality Assured Results; #essay due; #pay write #econometrics #paper pay #someone help paper #case study #javascript #homework  #macroeconomics #accounting #essay due #winter classes  #midterm exams #course work #stats #philosophy #assignment due Hmu {{USERNAME}},2021-08-29,business_&_entrepreneurs
2305,I will not be retweeting and posting Animal crossing content over at {{USERNAME}} our first post of art is already on there!!,2020-03-26,sports_&_gaming
672,"Celine Dion, Andrea Bocelli, Lady Gaga, Lang Lang, John Legend perform  ... {{URL}} via {@YouTube@} mooi #kippevel",2020-04-19,pop_culture
2133,The amount of rats in The Suicide Squad is an amount that {{USERNAME}} would approve of. All of the rats are so cute.,2021-08-08,pop_culture
655,why is there NO skin for the bocek bow in the battle pass? {@Apex Legends@} {@Respawn@} ? :(,2021-05-09,sports_&_gaming
1223,Opinion | Here s why it makes sense to keep your mask on even if the CDC says you don t need to {{URL}} via {@NBC News THINK@},2021-05-16,science_&_technology
1385,UK winter break in Lincoln {{URL}} via {{USERNAME}},2019-12-22,daily_life
109,". {@Akshay Kumar@} tops the 2019 cumulative #Bollywood Box Office with ₹ 700+* Crs Nett in #India  All his 2019 movies - #Housefull4 , #MissionMangal , #Kesari and #GoodNewwz* have tasted success at the Box office..   He is on a winning streak for the past few years..",2020-01-03,pop_culture
1138,#The100 Octavia is never giving the Disciples anything. Not unless Hope is safe. This must be why the Disciples know everything about Clarke’s people. Was cool to see young Murphy for a brief moment. {@Dicky Spooks@} {@Marie Avgeropoulos@},2020-06-18,pop_culture
1961,"I love living here at {{USERNAME}} - here s why we love the house. Has lots of room, big yard, and wooded area, just a beautiful home and a nice community. We really love how everyone in the community looks out for one another. {{URL}} #Community Rewards",2021-04-04,daily_life
923," Tyson Fury s trainer Ben Davison on Anthony Joshua s win over Andy Ruiz:  It was almost, not in a horrible way, like a poor man’s Tyson Fury. That’s not in a nasty way. He can’t do it to the level of Tyson, but it was the tactics he needed to employ and he done well.  [ {@IFL TV@} ]",2019-12-08,sports_&_gaming
886,Came out for a walk and ended up in {{USERNAME}} for a  substantial meal  (their breakfast burrito is particularly good). Somebody really likes {@Sticky Fingers@} I ve never used shazam so much before I realised they re playing an album,2020-12-20,pop_culture
2900,Come on {@Green Bay Packers@} get it together. A first round bye is on the line.,2019-12-29,sports_&_gaming
1418,"RIP: David Prowse, Darth Vader Actor in ‘Star Wars,’ Dead at 85 {{URL}} via {@Yahoo@} ",2020-11-29,pop_culture
971,"I have no horse in the race today, but I have to think having {@Ndamukong Suh@} & #LavonteDavid starting in The Super Bowl has to be huge for {@Erik Chinander@} and The  #Huskers #Blackshirts",2021-02-07,sports_&_gaming
1785,Trillions Upon Trillions of Viruses Fall From the Sky Each Day - The New York Times | {{USERNAME}} {{URL}},2021-02-07,science_&_technology
2452,I wanna throw a brick at the tv watching trump implying that masks are going out the back door {@Nicolle Wallace@} {@Reverend Al Sharpton@} {@John Heilemann@},2020-03-29,pop_culture
1051,Greetings {@Most Requested Live@} :) Can I please hear the most dope song in the world right now aka #MakeItRight by BTS feat. {@Lauv@} on #MostRequestedLive? {@BTS_twt@} #방탄소년단 #BTS,2019-10-20,pop_culture
2308,"Great sermon today but jmma need you to put some respect on my Celtics the big 3 was KG, Paul Pierce and Ray Allen  {{USERNAME}} ",2021-04-25,sports_&_gaming
1801,The fundraising foundation for the Baptist Health of S. Florida hospital system told donors who could afford at least six-figure financial contributions on New Year’s Day that they were eligible for the Covid-19 vaccine.  {@Ron DeSantis@} is a crook! {{URL}},2021-03-21,science_&_technology
713,The latest Gwadar Oil and Gas! {{URL}} Thanks to {{USERNAME}} #gwadar #hollywood,2020-05-03,science_&_technology
2044,Two 19-point second half comebacks in one year in conference play? On the road? One against the No. 12 team in the country? Are you kidding me?!!! {@WVU Men s Basketball@},2021-02-21,sports_&_gaming
119,"Another big time addition to our QB group. {{USERNAME}} out of Hesston, KS will be joining our 15U.   Hudson started the last 4 games as a Freshman for Hesston HS this past fall & put up 925 yards passing with 8 TDs in that span    The 2024 QB is one to keep eye on!",2021-03-07,sports_&_gaming
1224,"i was looking to see where the wildflowers might be out, and found this...  It is common for kangaroos to be spotted hopping through the bar at the John Forrest Wildflower Tavern. {{URL}} via {@ABC News@} ",2020-06-14,daily_life
2968,Bloodhound Gang - The Bad Touch {{URL}} #MMM Voor {{USERNAME}},2021-05-16,pop_culture
961,Trump Supporters Fill Streets of Beverly Hills:  The Silent Majority is Silenced No More  {{URL}} via {@Breitbart News@} Beverly Hills??? You can t make this stuff up!!!,2020-11-01,pop_culture
1606,I m really curious what {@Christopher Bell@} will show in the 20 next year. Great drive again today. #hollywoodcasino400 #NASCARPlayoffs,2020-10-18,sports_&_gaming
1042,Chelsea will be bringing the trophy home again #NeverWatchingAlone {{USERNAME}} The blues all the way,2021-05-29,sports_&_gaming
1694,I just realized that {{USERNAME}} seems to mean  I said yes  in Albanian.  Clever. If only.,2020-02-16,daily_life
1491,Enter to Meet a Jingle Ball Artist + WRAP BATTLE Sisanie at KIIS FM s SOLD OUT Jingle Ball Presented by Capital One from {@102 7 KIIS FM@} . {{URL}},2019-12-01,pop_culture
3108,Open House Today 12-1:30 19 3rd St Norwood - Come over and see this awesome home! {{URL}} via {{USERNAME}},2021-08-08,daily_life
1303,I was supposed to be seeing your Flawless face Saturday {@h@} and my heart breaks cause I’m not but I hope youre staying safe and well and see you front row pitt next year Beautiful. Xo & Happy Pride ️‍✨,2020-06-21,daily_life
2620,Xbox Battle Predicts the 49ers to Win the Big Game as {@Richard Sherman@} Defeats {@Travis Kelce@} in {@Madden NFL 22@} 20 Preview of Sunday’s Showdown!  #SBLIV {{URL}},2020-01-29,sports_&_gaming
1110,U13 track and field group back in this morning also nice to have Kobey popping in with his dad to get an extra bit of work in! ⚽️ {{USERNAME}} {@South Shields FC@} {{URL}},2020-09-20,sports_&_gaming
2210,I’m on {@975TheFanatic@} 12-4. Last Sunday without NFL. How many games do the Eagles win? How far can they go? What do the Flyers have to do to take the next step? Are you rooting for/against Jimmy Butler? Do you agree with me the Phillies will make noise in October?,2020-09-06,sports_&_gaming
2845,Rage Against The Machine - Killing In the Name (Official Music Video) {{URL}} via {@YouTube@} morning.,2020-08-30,pop_culture
