ID,Soil_Type,Region,Irrigation,pH,Moisture,Nitrogen,Phosphorus,Potassium,Organic_Matter,Electrical_Conductivity,Bulk_Density,Clay_Percent,Temperature,Rainfall_7d,Sunlight_hours,Slope,Suitability
78,Sandy,Mountain,Sprinkler,6.935,15.222,70.525,32.5,92.924,1.086,0.614,1.691,3.014,17.835,31.254,6.268,12.426,Unfavorable
79,Silt,Plain,Drip,6.497,29.111,96.99,50.778,125.292,2.269,0.968,1.258,9.3,14.944,64.233,8.89,0.0,Favorable
80,Sandy,Plain,None,6.5,19.745,85.587,24.798,112.977,,0.533,1.756,10.857,11.192,20.506,6.245,3.534,Favorable
81,Sandy,Plain,Sprinkler,7.133,40.158,79.209,52.153,124.73,3.671,0.921,1.662,24.11,13.326,35.29,7.134,4.165,Favorable
82,Sandy,Hill,None,6.266,21.321,111.324,32.141,110.659,2.704,1.016,1.638,4.851,12.68,5.676,7.058,15.535,Unfavorable
83,Loam,Plain,Drip,7.223,22.524,117.642,55.466,161.63,2.946,1.089,1.397,33.117,20.668,24.705,8.366,1.198,Favorable
84,Loam,Plain,Sprinkler,6.998,25.212,109.489,59.362,131.137,3.26,0.824,1.518,24.595,16.123,59.389,7.972,4.408,Favorable
85,Loam,Plain,None,7.163,27.229,99.572,64.646,143.29,1.986,0.717,1.387,27.026,18.579,5.061,7.976,4.639,Favorable
86,Silt,Plain,Sprinkler,6.688,31.333,109.901,53.394,146.346,3.53,1.353,1.257,21.949,11.882,19.715,6.616,7.081,Favorable
87,Loam,Plain,Sprinkler,6.954,24.419,111.8,58.379,203.666,2.666,0.737,1.412,22.823,16.453,47.92,7.121,1.539,Favorable
88,Clay,Hill,None,7.332,14.202,122.796,44.146,171.907,3.506,1.532,1.517,44.283,13.857,38.493,8.155,14.961,Favorable
89,Silt,Plain,None,5.947,25.776,118.857,42.065,93.826,4.106,1.124,1.075,30.359,19.233,23.711,7.378,7.691,Favorable
90,Loam,Plain,None,7.139,21.611,97.179,68.942,168.097,2.715,1.112,1.423,19.509,8.901,14.568,6.25,5.957,Favorable
91,Loam,Plain,None,6.637,27.794,118.038,46.676,181.451,3.099,0.822,1.485,18.234,14.097,13.196,6.736,5.028,Favorable
92,Silt,Plain,None,6.784,25.404,102.938,40.353,116.844,3.698,0.965,1.219,25.788,21.024,15.91,5.819,9.901,Favorable
93,Clay,Hill,Drip,6.875,16.005,110.442,38.138,155.9,1.977,1.434,1.354,44.425,26.154,15.875,6.681,11.912,Favorable
94,Clay,Hill,Drip,6.523,20.209,121.243,45.943,152.417,2.119,1.021,1.384,46.88,13.972,14.145,4.911,10.388,Favorable
95,Silt,Hill,None,6.351,28.548,113.642,42.912,185.099,3.923,0.624,1.43,3.338,14.495,66.779,7.059,9.461,Favorable
96,Sandy,Plain,Drip,6.062,19.975,83.558,35.186,104.083,2.396,0.879,1.412,16.702,12.176,21.25,5.381,10.058,Favorable
97,Silt,Mountain,None,7.177,22.782,75.228,56.406,122.744,1.743,1.208,1.273,6.614,11.613,32.237,6.071,11.567,Favorable
98,Loam,Mountain,None,7.363,16.663,80.541,13.272,132.048,3.72,0.511,1.289,22.61,12.353,16.87,10.593,9.767,Unfavorable
99,Loam,Plain,None,6.165,34.831,91.145,67.458,149.011,4.009,0.852,1.17,17.654,20.278,23.251,9.043,13.681,Favorable
100,Silt,Plain,Drip,7.164,35.026,162.823,56.999,151.578,2.748,1.03,1.35,18.859,17.695,23.229,7.807,2.684,Favorable
101,Silt,Plain,Sprinkler,7.087,19.416,93.448,43.585,140.887,2.54,0.917,1.214,12.998,25.432,65.088,9.072,4.053,Favorable
102,Clay,Hill,None,6.963,16.77,123.661,41.236,172.958,4.662,1.024,1.407,48.903,26.953,15.751,8.5,13.022,Favorable
103,Loam,Mountain,Sprinkler,6.362,29.692,119.521,51.921,133.357,2.934,0.675,1.426,26.619,9.8,18.568,6.35,21.674,Unfavorable
104,Loam,Plain,Sprinkler,6.808,14.824,125.003,62.204,159.234,,0.772,1.379,18.239,11.908,23.074,7.076,7.463,Favorable
105,Loam,Plain,None,6.554,23.279,109.337,75.907,159.609,3.113,0.852,1.425,17.117,13.158,16.018,6.868,1.419,Favorable
106,Clay,Plain,None,6.582,19.139,92.926,49.175,160.386,2.375,1.477,1.427,46.687,23.805,35.154,6.146,9.911,Favorable
107,Loam,Plain,None,6.521,16.205,93.358,26.052,158.221,3.657,0.906,1.176,27.062,16.646,31.792,7.289,9.399,Favorable
108,Silt,Plain,None,6.557,22.902,81.521,53.597,164.044,2.311,1.132,1.41,31.858,18.707,19.309,5.3,5.438,Favorable
109,Clay,Hill,None,7.117,26.342,71.785,33.802,161.831,3.326,1.569,1.486,35.248,20.69,42.118,5.985,1.816,Favorable
110,Loam,Mountain,None,6.845,20.691,109.324,43.687,126.096,2.6,0.755,1.286,21.915,18.746,27.275,8.129,15.785,Favorable
111,Loam,Plain,None,6.591,28.245,108.817,40.291,168.157,2.451,0.97,1.352,12.017,11.459,19.611,6.118,2.689,Favorable
112,Loam,Plain,None,7.06,29.746,131.623,57.915,170.358,4.579,1.289,1.445,31.117,15.884,41.137,6.242,12.868,Favorable
113,Silt,Mountain,None,6.814,26.259,69.515,35.467,99.328,0.791,1.154,1.374,11.874,12.976,11.859,3.289,14.256,Unfavorable
114,Loam,Plain,Drip,6.618,41.208,118.55,53.064,199.333,1.485,1.07,1.397,20.794,12.235,18.997,9.557,11.495,Favorable
115,Loam,Hill,Sprinkler,6.884,20.307,91.88,41.498,186.187,2.004,0.961,1.43,27.278,19.24,26.471,7.127,5.738,Favorable
116,Loam,Hill,Sprinkler,6.527,,156.063,68.073,142.897,1.556,0.802,1.443,21.614,20.399,11.775,7.151,19.09,Unfavorable
117,Loam,Plain,Drip,6.637,21.927,94.802,46.803,171.739,1.166,0.669,1.37,10.744,25.811,20.206,7.539,0.0,Favorable
118,Loam,Hill,Sprinkler,7.056,22.304,105.344,52.519,171.018,4.533,0.982,1.289,19.392,7.165,13.512,5.316,9.644,Favorable
119,Loam,Hill,Sprinkler,7.655,24.897,137.599,58.572,146.6,2.477,1.514,1.27,28.501,13.185,21.946,7.833,13.915,Unfavorable
120,Clay,Plain,None,7.388,16.826,76.417,57.497,189.48,2.938,1.23,1.352,45.961,26.151,8.709,7.059,6.859,Favorable
121,Clay,Hill,Drip,6.878,16.197,139.584,37.645,189.661,,1.999,1.45,45.532,18.441,31.436,9.173,6.547,Favorable
122,Loam,Hill,Drip,6.583,21.011,139.885,49.756,178.012,3.511,0.923,1.259,26.597,11.986,28.706,7.03,19.053,Favorable
123,Sandy,Plain,None,5.685,20.143,70.178,46.488,115.941,2.023,1.079,1.572,8.157,8.474,16.331,6.803,6.376,Unfavorable
124,Loam,Plain,Drip,6.956,28.45,121.661,23.26,127.009,2.851,1.409,1.238,18.933,21.537,26.562,5.862,0.0,Favorable
125,Sandy,Mountain,Drip,7.015,22.272,84.239,29.876,139.91,0.491,0.732,1.674,3.467,23.877,16.447,9.198,14.263,Unfavorable
126,Clay,Hill,Sprinkler,7.269,26.106,130.267,49.382,182.294,3.793,1.219,1.369,53.938,8.318,6.296,6.494,6.755,Favorable
127,Clay,Plain,Drip,7.673,33.697,110.298,56.872,173.212,3.567,1.28,1.43,58.993,14.657,9.872,5.448,0.0,Unfavorable
128,Loam,Hill,Sprinkler,6.533,11.79,151.967,52.562,140.077,2.746,1.691,1.475,29.439,18.94,33.322,7.298,7.042,Favorable
129,Sandy,Plain,None,6.984,28.292,102.203,39.048,130.246,3.591,0.2,1.499,8.453,14.951,21.917,8.007,7.237,Favorable
130,Loam,Plain,Drip,6.473,32.309,81.211,37.137,177.747,2.889,1.063,1.113,23.089,16.577,12.969,7.973,8.035,Favorable
131,Silt,Hill,None,7.009,18.898,87.723,56.639,124.067,3.261,0.872,1.466,19.81,15.552,13.9,8.173,14.041,Favorable
132,Loam,Mountain,None,6.696,11.949,125.451,45.734,140.083,1.865,0.632,1.321,25.936,9.841,20.471,6.831,20.043,Unfavorable
133,Loam,Plain,None,7.021,22.516,154.501,44.346,137.816,,1.315,1.282,25.061,24.29,23.551,7.908,0.377,Favorable
134,Loam,Plain,Sprinkler,6.798,25.882,146.938,60.135,150.322,3.591,1.331,1.246,18.693,13.704,21.316,6.796,9.359,Favorable
135,Loam,Plain,Sprinkler,6.227,23.692,115.815,30.418,123.232,2.624,1.657,1.201,20.266,21.328,25.063,8.909,0.0,Favorable
136,Loam,Plain,Sprinkler,7.282,19.962,142.578,68.462,135.312,3.138,1.011,1.431,16.435,10.822,39.558,7.596,0.508,Favorable
137,Sandy,Hill,None,6.189,19.996,93.963,56.656,101.743,,0.756,1.503,10.878,10.806,20.023,4.129,13.039,Unfavorable
138,Sandy,Hill,None,6.465,19.953,61.432,37.771,129.946,2.465,0.207,1.667,13.547,8.431,18.467,7.538,14.193,Unfavorable
139,Sandy,Plain,None,6.573,27.886,60.735,36.259,122.888,1.735,0.873,1.62,5.374,16.233,16.287,5.382,0.0,Unfavorable
140,Sandy,Plain,Sprinkler,7.204,26.305,67.061,21.039,133.234,3.1,0.92,1.469,9.099,16.499,57.474,6.312,0.0,Favorable
141,Clay,Hill,Sprinkler,7.697,16.961,90.412,50.098,216.046,3.557,1.269,1.288,51.931,18.284,29.301,6.884,11.622,Unfavorable
142,Loam,Plain,Sprinkler,6.627,21.09,121.584,56.083,155.318,3.027,1.095,1.663,36.182,28.437,19.043,6.435,5.172,Favorable
143,Sandy,Plain,Sprinkler,7.054,,88.332,18.363,95.998,,0.882,1.399,6.423,25.186,69.952,6.923,0.0,Favorable
144,Clay,Hill,None,7.199,17.042,105.325,48.144,166.377,2.598,1.134,1.314,51.274,9.1,28.046,8.383,11.342,Unfavorable
145,Loam,Plain,Sprinkler,7.567,26.474,132.137,51.509,130.209,0.4,0.839,1.395,16.786,22.544,15.19,6.966,11.086,Unfavorable
146,Loam,Plain,None,7.33,21.262,123.486,59.538,152.781,2.912,1.405,1.194,23.113,18.262,18.595,7.987,15.894,Favorable
147,Clay,Hill,None,7.158,27.823,128.417,43.211,188.231,4.165,1.316,1.393,52.153,15.616,52.788,6.93,15.979,Favorable
148,Loam,Hill,Sprinkler,7.097,29.653,127.316,67.675,186.621,2.974,1.135,1.334,35.108,21.703,30.936,6.968,10.335,Favorable
149,Silt,Mountain,None,7.447,14.233,69.93,14.73,155.265,3.175,0.974,1.322,16.83,17.795,17.36,5.748,12.008,Unfavorable
150,Loam,Plain,Sprinkler,6.635,16.333,122.948,47.439,178.265,4.898,0.809,1.51,22.216,21.991,16.787,6.979,7.56,Favorable
151,Sandy,Hill,Drip,6.099,19.245,97.354,41.631,108.169,,0.72,1.439,2.117,7.941,22.863,5.632,2.639,Unfavorable
152,Loam,Hill,Sprinkler,6.636,14.221,92.224,45.886,146.024,,0.769,1.318,28.251,17.5,10.84,9.93,7.743,Favorable
153,Loam,Plain,None,7.054,22.727,73.076,58.571,167.749,2.059,1.025,1.498,35.829,28.481,48.652,5.146,8.388,Favorable
154,Loam,Hill,Sprinkler,7.106,28.351,101.778,51.234,173.136,4.168,0.962,1.259,22.185,12.329,7.0,4.767,11.247,Favorable
155,Loam,Plain,Drip,6.823,30.823,112.638,59.286,207.048,3.004,0.574,1.469,33.734,16.08,6.516,6.483,6.966,Favorable
156,Sandy,Mountain,None,6.332,11.548,114.576,31.59,117.582,2.817,0.815,1.535,1.0,28.115,11.272,8.507,15.189,Unfavorable
157,Loam,Plain,None,6.274,39.458,115.21,40.029,115.165,2.322,1.126,1.458,20.351,18.541,36.922,7.1,1.874,Favorable
158,Sandy,Hill,Sprinkler,6.383,23.788,77.085,32.16,96.636,0.4,0.733,1.66,2.324,15.839,37.668,8.984,6.683,Favorable
159,Clay,Hill,None,6.888,18.607,112.418,26.676,156.328,2.005,0.941,1.369,39.233,15.253,11.411,5.636,14.699,Unfavorable
160,Clay,Hill,None,7.257,27.932,91.125,30.109,133.542,3.13,1.435,1.551,38.795,19.208,8.808,8.285,11.386,Unfavorable
161,Loam,Plain,None,6.985,23.503,105.475,62.384,177.629,1.727,0.436,1.252,25.913,15.483,4.898,7.245,0.535,Favorable
162,Clay,Plain,Drip,7.17,29.431,111.484,51.708,168.761,3.849,1.674,1.66,43.652,17.511,54.059,8.072,5.623,Favorable
163,Sandy,Plain,Drip,6.621,18.647,72.401,41.223,79.372,2.804,0.435,1.543,9.583,11.328,28.258,7.139,1.28,Favorable
164,Silt,Mountain,Drip,7.138,28.183,110.359,39.849,166.476,,0.516,1.31,15.96,19.737,19.915,6.041,13.591,Favorable
165,Sandy,Hill,Drip,6.252,,96.548,38.196,120.413,2.386,0.163,1.543,7.163,18.709,18.668,7.885,9.433,Favorable
166,Sandy,Plain,Sprinkler,6.205,16.029,70.058,10.274,122.644,1.952,0.875,1.502,5.392,20.95,3.882,6.892,0.0,Unfavorable
167,Loam,Plain,None,7.204,9.87,114.704,55.722,171.662,,0.883,1.349,27.953,10.745,8.215,7.063,4.702,Favorable
168,Sandy,Plain,None,6.615,19.98,56.134,20.42,83.623,2.517,0.995,1.501,6.021,16.711,4.116,7.168,12.208,Unfavorable
169,Clay,Hill,None,6.938,17.388,79.075,54.43,157.035,2.191,1.21,1.31,53.394,14.143,53.762,6.825,11.871,Favorable
170,Sandy,Mountain,Sprinkler,6.517,17.525,71.171,49.631,88.943,1.803,0.406,1.619,1.0,19.675,31.676,7.174,12.785,Favorable
171,Loam,Plain,None,6.758,20.922,111.713,60.206,188.952,2.933,1.34,1.283,28.224,16.64,14.178,6.988,3.585,Favorable
172,Loam,Plain,Sprinkler,6.982,25.087,108.414,61.27,156.663,2.918,0.798,1.357,27.755,19.814,12.135,6.877,5.759,Favorable
173,Sandy,Plain,Drip,6.839,31.978,81.535,20.716,134.232,2.543,0.874,1.622,4.7,16.584,9.799,5.479,3.154,Favorable
174,Clay,Plain,Sprinkler,7.428,33.577,133.934,68.278,226.376,2.62,1.399,1.429,40.511,14.43,10.156,9.604,6.313,Unfavorable
175,Silt,Plain,Sprinkler,7.072,28.498,133.661,43.761,159.297,3.017,0.533,1.514,19.764,19.524,33.468,7.232,0.0,Favorable
176,Loam,Hill,Sprinkler,6.791,18.943,114.796,54.245,140.34,2.779,0.815,1.298,28.565,18.992,25.713,7.039,9.78,Favorable
177,Sandy,Hill,None,6.771,20.901,84.317,33.183,123.034,3.713,0.229,1.597,10.084,17.687,31.073,6.707,9.307,Favorable
178,Clay,Plain,None,6.775,20.006,145.546,44.835,188.636,2.744,1.366,1.423,43.355,20.988,25.156,6.028,0.0,Favorable
179,Sandy,Plain,None,6.254,,84.829,46.372,105.857,4.539,0.525,1.639,8.156,25.944,20.403,7.979,2.769,Favorable
180,Loam,Hill,Sprinkler,7.098,17.905,102.653,58.115,142.558,3.989,0.656,1.542,15.049,12.11,5.58,8.316,10.189,Favorable
181,Loam,Mountain,Drip,6.714,19.87,103.325,61.154,130.917,,1.186,1.315,22.921,13.061,6.94,6.046,17.888,Unfavorable
182,Loam,Plain,Sprinkler,6.139,24.22,145.352,51.072,124.539,2.079,1.227,1.312,13.365,16.138,23.106,4.696,4.79,Favorable
183,Silt,Hill,Sprinkler,6.303,21.716,104.642,24.711,94.026,1.343,1.069,1.423,16.389,8.603,16.363,5.699,7.116,Favorable
184,Loam,Plain,None,6.519,24.573,147.966,85.465,155.598,2.884,0.85,1.348,33.058,18.494,14.89,6.7,8.438,Favorable
185,Loam,Hill,Sprinkler,6.718,23.963,119.435,49.686,138.272,2.795,0.638,1.207,26.504,31.161,15.203,8.308,2.857,Favorable
186,Clay,Mountain,Sprinkler,8.115,26.079,84.351,38.676,142.46,3.262,1.369,1.306,29.227,10.435,54.774,8.344,14.704,Unfavorable
187,Loam,Plain,Sprinkler,6.3,33.006,132.35,65.489,117.079,3.879,1.065,1.049,27.001,14.846,8.467,8.891,9.289,Favorable
188,Clay,Plain,None,7.156,33.145,81.831,33.146,155.403,3.242,1.109,1.235,42.34,17.442,29.907,8.539,0.0,Favorable
189,Loam,Hill,Sprinkler,7.088,29.956,106.336,54.101,144.761,,1.056,1.262,7.829,16.699,19.786,7.115,12.952,Favorable
190,Loam,Hill,Sprinkler,6.84,22.637,94.937,25.941,114.667,2.653,0.842,1.256,24.971,17.788,6.493,6.436,13.384,Favorable
191,Clay,Plain,None,6.445,27.371,87.733,78.217,229.303,4.13,1.347,1.305,45.164,21.046,11.761,6.093,2.659,Favorable
