MatchID,Season,MatchWeek,HomeTeam,AwayTeam,FullTimeResult,Goals,Shots,Corners,YellowCards,RedCards,TotalCards,TeamStyles,chaos_label
2000-2001_Everton_Charlton,2000-2001,1,Everton,Charlton,H,3,21.0,8.0,3.0,1.0,5.0,"ChaosInducer, DirectPlay",0
2000-2001_Man City_Sunderland,2000-2001,1,Man City,Sunderland,H,6,24.0,10.0,6.0,0.0,6.0,"AggressiveTackler, RiskTaker, ChaosInducer",1
2000-2001_Newcastle_Derby,2000-2001,1,Newcastle,Derby,H,5,19.0,15.0,3.0,1.0,5.0,"ChaosInducer, LowTempoController",0
2000-2001_Southampton_Coventry,2000-2001,1,Southampton,Coventry,A,3,19.0,11.0,8.0,0.0,8.0,"AggressiveTackler, ChaosInducer, LowTempoController",0
2000-2001_West Ham_Leicester,2000-2001,1,West Ham,Leicester,A,1,21.0,16.0,6.0,1.0,8.0,"AggressiveTackler, HighPressure, ChaosInducer, LowTempoController",1
2000-2001_Arsenal_Charlton,2000-2001,2,Arsenal,Charlton,H,8,25.0,11.0,1.0,0.0,1.0,"RiskTaker, ChaosInducer, Disciplined",1
2000-2001_Bradford_Leicester,2000-2001,2,Bradford,Leicester,D,0,21.0,14.0,3.0,0.0,3.0,"LowTempoController, RiskTaker",0
2000-2001_Everton_Derby,2000-2001,2,Everton,Derby,D,4,19.0,13.0,5.0,0.0,5.0,"ChaosInducer, LowTempoController",0
2000-2001_Ipswich_Sunderland,2000-2001,2,Ipswich,Sunderland,H,1,23.0,13.0,2.0,0.0,2.0,"Disciplined, LowTempoController",0
2000-2001_Man City_Coventry,2000-2001,2,Man City,Coventry,A,3,23.0,10.0,5.0,0.0,5.0,"ChaosInducer, HighPressure",0
2000-2001_Middlesbrough_Leeds,2000-2001,2,Middlesbrough,Leeds,A,3,31.0,12.0,2.0,0.0,2.0,"RiskTaker, HighPressure, Disciplined",0
2000-2001_Newcastle_Tottenham,2000-2001,2,Newcastle,Tottenham,H,2,25.0,6.0,0.0,0.0,0.0,"Disciplined, DirectPlay",0
2000-2001_Southampton_Liverpool,2000-2001,2,Southampton,Liverpool,D,6,23.0,8.0,0.0,0.0,0.0,"RiskTaker, Disciplined",0
2000-2001_West Ham_Man United,2000-2001,2,West Ham,Man United,D,4,25.0,12.0,1.0,0.0,1.0,"RiskTaker, Disciplined",0
2000-2001_Aston Villa_Chelsea,2000-2001,2,Aston Villa,Chelsea,D,2,23.0,17.0,1.0,0.0,1.0,"HighPressure, Disciplined, LowTempoController",0
2000-2001_Leeds_Man City,2000-2001,3,Leeds,Man City,A,3,14.0,13.0,4.0,0.0,4.0,"LowTempoController, HighPressure",0
2000-2001_Man United_Bradford,2000-2001,3,Man United,Bradford,H,6,27.0,6.0,1.0,0.0,1.0,"RiskTaker, Disciplined",0
2000-2001_Sunderland_West Ham,2000-2001,3,Sunderland,West Ham,D,2,33.0,15.0,5.0,0.0,5.0,"HighPressure, Opportunistic",0
2000-2001_Tottenham_Everton,2000-2001,3,Tottenham,Everton,H,5,22.0,12.0,3.0,0.0,3.0,"RiskTaker, ChaosInducer, LowTempoController",1
2000-2001_Charlton_Southampton,2000-2001,3,Charlton,Southampton,D,2,19.0,24.0,6.0,1.0,8.0,"AggressiveTackler, HighPressure, ChaosInducer, LowTempoController",1
2000-2001_Chelsea_Arsenal,2000-2001,3,Chelsea,Arsenal,D,4,25.0,13.0,4.0,0.0,4.0,"RiskTaker, HighPressure, ChaosInducer",1
2000-2001_Coventry_Newcastle,2000-2001,3,Coventry,Newcastle,A,2,26.0,14.0,2.0,0.0,2.0,"HighPressure, Disciplined, LowTempoController",0
2000-2001_Derby_Middlesbrough,2000-2001,3,Derby,Middlesbrough,D,6,14.0,16.0,5.0,0.0,5.0,"ChaosInducer, LowTempoController",0
2000-2001_Leicester_Ipswich,2000-2001,3,Leicester,Ipswich,H,3,19.0,8.0,2.0,0.0,2.0,"Disciplined, HighPressure",0
2000-2001_Liverpool_Aston Villa,2000-2001,3,Liverpool,Aston Villa,H,4,20.0,15.0,2.0,0.0,2.0,"Disciplined, LowTempoController",0
2000-2001_Bradford_Arsenal,2000-2001,4,Bradford,Arsenal,D,2,27.0,14.0,2.0,0.0,2.0,"HighPressure, Disciplined, Opportunistic",0
2000-2001_Coventry_Leeds,2000-2001,4,Coventry,Leeds,D,0,20.0,12.0,4.0,0.0,4.0,"LowTempoController, Opportunistic",0
2000-2001_Ipswich_Aston Villa,2000-2001,4,Ipswich,Aston Villa,A,3,20.0,8.0,4.0,0.0,4.0,"Disciplined, ChaosInducer",0
2000-2001_Leicester_Southampton,2000-2001,4,Leicester,Southampton,H,1,26.0,16.0,0.0,0.0,0.0,"HighPressure, Disciplined, LowTempoController",0
2000-2001_Liverpool_Man City,2000-2001,4,Liverpool,Man City,H,5,23.0,13.0,7.0,0.0,7.0,"AggressiveTackler, RiskTaker, ChaosInducer, LowTempoController",1
2000-2001_Man United_Sunderland,2000-2001,4,Man United,Sunderland,H,3,20.0,8.0,4.0,0.0,4.0,"Opportunistic, Opportunistic",0
2000-2001_Middlesbrough_Everton,2000-2001,4,Middlesbrough,Everton,A,3,21.0,14.0,3.0,0.0,3.0,"LowTempoController, HighPressure",0
2000-2001_Newcastle_Chelsea,2000-2001,4,Newcastle,Chelsea,D,0,20.0,11.0,3.0,0.0,3.0,"LowTempoController, LowTempoController",0
2000-2001_Derby_Charlton,2000-2001,4,Derby,Charlton,D,4,22.0,15.0,4.0,0.0,4.0,"HighPressure, ChaosInducer, LowTempoController",0
2000-2001_Tottenham_West Ham,2000-2001,4,Tottenham,West Ham,H,1,26.0,14.0,3.0,0.0,3.0,"HighPressure, LowTempoController",0
2000-2001_Arsenal_Coventry,2000-2001,5,Arsenal,Coventry,H,3,24.0,12.0,3.0,0.0,3.0,"Disciplined, RiskTaker",0
2000-2001_Aston Villa_Bradford,2000-2001,5,Aston Villa,Bradford,H,2,20.0,11.0,2.0,0.0,2.0,"Disciplined, LowTempoController",0
2000-2001_Charlton_Tottenham,2000-2001,5,Charlton,Tottenham,H,1,19.0,12.0,0.0,0.0,0.0,"Disciplined, LowTempoController",0
2000-2001_Everton_Man United,2000-2001,5,Everton,Man United,A,4,23.0,11.0,5.0,0.0,5.0,"ChaosInducer, Opportunistic",0
2000-2001_Leeds_Ipswich,2000-2001,5,Leeds,Ipswich,A,3,23.0,9.0,4.0,0.0,4.0,"ChaosInducer, LowTempoController",0
2000-2001_Southampton_Newcastle,2000-2001,5,Southampton,Newcastle,H,2,23.0,12.0,0.0,0.0,0.0,"Disciplined, LowTempoController",0
2000-2001_Sunderland_Derby,2000-2001,5,Sunderland,Derby,H,3,25.0,9.0,5.0,0.0,5.0,"ChaosInducer, RiskTaker",1
2000-2001_Chelsea_Leicester,2000-2001,5,Chelsea,Leicester,A,2,23.0,18.0,4.0,0.0,4.0,"HighPressure, LowTempoController",0
2000-2001_Man City_Middlesbrough,2000-2001,5,Man City,Middlesbrough,D,2,15.0,12.0,7.0,0.0,7.0,"AggressiveTackler, ChaosInducer, LowTempoController",0
2000-2001_West Ham_Liverpool,2000-2001,5,West Ham,Liverpool,D,2,22.0,9.0,2.0,0.0,2.0,"Disciplined, Opportunistic",0
2000-2001_Bradford_Southampton,2000-2001,6,Bradford,Southampton,A,1,20.0,12.0,4.0,0.0,4.0,"LowTempoController, ChaosInducer",0
2000-2001_Coventry_West Ham,2000-2001,6,Coventry,West Ham,A,3,21.0,11.0,1.0,0.0,1.0,"Disciplined, LowTempoController",0
2000-2001_Derby_Leeds,2000-2001,6,Derby,Leeds,D,2,29.0,11.0,4.0,1.0,6.0,"AggressiveTackler, HighPressure, Opportunistic",1
2000-2001_Ipswich_Arsenal,2000-2001,6,Ipswich,Arsenal,D,2,27.0,11.0,3.0,0.0,3.0,"Opportunistic, Disciplined",0
2000-2001_Liverpool_Sunderland,2000-2001,6,Liverpool,Sunderland,D,2,19.0,15.0,4.0,0.0,4.0,"LowTempoController, AggressiveTackler",0
2000-2001_Man United_Chelsea,2000-2001,6,Man United,Chelsea,D,6,24.0,12.0,5.0,0.0,5.0,"RiskTaker, ChaosInducer",1
2000-2001_Middlesbrough_Aston Villa,2000-2001,6,Middlesbrough,Aston Villa,D,2,27.0,10.0,3.0,0.0,3.0,"Opportunistic, ChaosInducer",0
2000-2001_Newcastle_Charlton,2000-2001,6,Newcastle,Charlton,A,1,16.0,11.0,3.0,0.0,3.0,"LowTempoController, RiskTaker",0
2000-2001_Tottenham_Man City,2000-2001,6,Tottenham,Man City,D,0,25.0,9.0,2.0,0.0,2.0,"Disciplined, LowTempoController",0
2000-2001_Leicester_Everton,2000-2001,6,Leicester,Everton,D,2,19.0,12.0,4.0,0.0,4.0,"LowTempoController, Disciplined",0
2000-2001_Aston Villa_Derby,2000-2001,7,Aston Villa,Derby,H,5,23.0,12.0,2.0,0.0,2.0,"RiskTaker, Disciplined",0
2000-2001_Charlton_Coventry,2000-2001,7,Charlton,Coventry,D,4,22.0,12.0,3.0,0.0,3.0,"LowTempoController, ChaosInducer",0
2000-2001_Everton_Ipswich,2000-2001,7,Everton,Ipswich,A,3,16.0,5.0,1.0,0.0,1.0,"Disciplined, AggressiveTackler",0
2000-2001_Leeds_Tottenham,2000-2001,7,Leeds,Tottenham,H,7,24.0,10.0,2.0,0.0,2.0,"RiskTaker, ChaosInducer, Disciplined",0
2000-2001_Man City_Newcastle,2000-2001,7,Man City,Newcastle,A,1,24.0,18.0,1.0,0.0,1.0,"HighPressure, Disciplined, LowTempoController",0
2000-2001_Southampton_Middlesbrough,2000-2001,7,Southampton,Middlesbrough,A,4,23.0,12.0,4.0,0.0,4.0,"ChaosInducer, AggressiveTackler",1
2000-2001_West Ham_Bradford,2000-2001,7,West Ham,Bradford,D,2,23.0,9.0,5.0,0.0,5.0,"HighPressure, HighPressure",0
2000-2001_Arsenal_Man United,2000-2001,7,Arsenal,Man United,H,1,20.0,14.0,5.0,0.0,5.0,"LowTempoController, DirectPlay",0
2000-2001_Chelsea_Liverpool,2000-2001,7,Chelsea,Liverpool,H,3,21.0,4.0,2.0,0.0,2.0,"Disciplined, RiskTaker",0
2000-2001_Sunderland_Leicester,2000-2001,8,Sunderland,Leicester,D,0,19.0,8.0,4.0,0.0,4.0,"Opportunistic, ChaosInducer",0
2000-2001_Arsenal_Aston Villa,2000-2001,8,Arsenal,Aston Villa,H,1,24.0,11.0,5.0,1.0,7.0,"AggressiveTackler, ChaosInducer",1
2000-2001_Coventry_Tottenham,2000-2001,8,Coventry,Tottenham,H,3,4.0,8.0,4.0,1.0,6.0,"AggressiveTackler, ChaosInducer, LowTempoController",0
2000-2001_Everton_Southampton,2000-2001,8,Everton,Southampton,D,2,14.0,17.0,4.0,0.0,4.0,"LowTempoController, Opportunistic",0
2000-2001_Ipswich_West Ham,2000-2001,8,Ipswich,West Ham,D,2,18.0,13.0,4.0,0.0,4.0,"LowTempoController, DirectPlay",0
2000-2001_Leeds_Charlton,2000-2001,8,Leeds,Charlton,H,4,32.0,13.0,1.0,0.0,1.0,"RiskTaker, HighPressure, Disciplined",0
2000-2001_Leicester_Man United,2000-2001,8,Leicester,Man United,A,3,26.0,13.0,0.0,0.0,0.0,"HighPressure, Disciplined",0
2000-2001_Man City_Bradford,2000-2001,8,Man City,Bradford,H,2,23.0,11.0,2.0,0.0,2.0,"Disciplined, LowTempoController",0
2000-2001_Sunderland_Chelsea,2000-2001,8,Sunderland,Chelsea,H,1,27.0,5.0,1.0,2.0,5.0,"Opportunistic, LowTempoController",0
2000-2001_Derby_Liverpool,2000-2001,8,Derby,Liverpool,A,4,22.0,7.0,2.0,0.0,2.0,"Disciplined, DirectPlay",0
2000-2001_Middlesbrough_Newcastle,2000-2001,8,Middlesbrough,Newcastle,A,4,23.0,12.0,3.0,0.0,3.0,"LowTempoController, HighPressure",0
2000-2001_Bradford_Ipswich,2000-2001,9,Bradford,Ipswich,A,2,19.0,10.0,1.0,0.0,1.0,"Disciplined, LowTempoController",0
2000-2001_Charlton_Middlesbrough,2000-2001,9,Charlton,Middlesbrough,H,1,13.0,11.0,4.0,0.0,4.0,"LowTempoController, ChaosInducer",0
2000-2001_Chelsea_Coventry,2000-2001,9,Chelsea,Coventry,H,7,36.0,10.0,1.0,1.0,3.0,"RiskTaker, HighPressure, ChaosInducer",1
2000-2001_Liverpool_Leicester,2000-2001,9,Liverpool,Leicester,H,1,32.0,19.0,3.0,0.0,3.0,"HighPressure, LowTempoController, Opportunistic",0
2000-2001_Man United_Leeds,2000-2001,9,Man United,Leeds,H,3,31.0,16.0,2.0,0.0,2.0,"RiskTaker, HighPressure, Disciplined",0
2000-2001_Newcastle_Everton,2000-2001,9,Newcastle,Everton,A,1,20.0,9.0,4.0,0.0,4.0,"DirectPlay, ChaosInducer",0
2000-2001_Tottenham_Derby,2000-2001,9,Tottenham,Derby,H,4,26.0,11.0,3.0,0.0,3.0,"RiskTaker, Opportunistic",0
2000-2001_West Ham_Arsenal,2000-2001,9,West Ham,Arsenal,A,3,24.0,9.0,1.0,0.0,1.0,"Disciplined, AggressiveTackler",0
2000-2001_Aston Villa_Sunderland,2000-2001,9,Aston Villa,Sunderland,D,0,24.0,10.0,4.0,0.0,4.0,"HighPressure, Disciplined",0
2000-2001_Southampton_Man City,2000-2001,9,Southampton,Man City,A,2,30.0,12.0,3.0,0.0,3.0,"HighPressure, Opportunistic",0
2000-2001_Arsenal_Man City,2000-2001,10,Arsenal,Man City,H,5,28.0,14.0,3.0,1.0,5.0,"RiskTaker, HighPressure, ChaosInducer",1
2000-2001_Aston Villa_Charlton,2000-2001,10,Aston Villa,Charlton,H,3,19.0,15.0,5.0,0.0,5.0,"ChaosInducer, LowTempoController",0
2000-2001_Chelsea_Tottenham,2000-2001,10,Chelsea,Tottenham,H,3,15.0,5.0,6.0,0.0,6.0,"AggressiveTackler, ChaosInducer",1
2000-2001_Ipswich_Middlesbrough,2000-2001,10,Ipswich,Middlesbrough,H,3,26.0,7.0,2.0,0.0,2.0,"Disciplined, HighPressure",0
2000-2001_Leicester_Derby,2000-2001,10,Leicester,Derby,H,3,16.0,10.0,3.0,0.0,3.0,"LowTempoController, DirectPlay",0
2000-2001_Man United_Southampton,2000-2001,10,Man United,Southampton,H,5,28.0,14.0,0.0,0.0,0.0,"RiskTaker, HighPressure, Disciplined",0
2000-2001_Sunderland_Coventry,2000-2001,10,Sunderland,Coventry,H,1,21.0,4.0,4.0,0.0,4.0,"Disciplined, AggressiveTackler",0
2000-2001_West Ham_Newcastle,2000-2001,10,West Ham,Newcastle,H,1,23.0,11.0,5.0,0.0,5.0,"DirectPlay, RiskTaker",0
2000-2001_Bradford_Leeds,2000-2001,10,Bradford,Leeds,D,2,23.0,14.0,7.0,0.0,7.0,"AggressiveTackler, HighPressure, ChaosInducer, LowTempoController",1
2000-2001_Liverpool_Everton,2000-2001,10,Liverpool,Everton,H,4,19.0,15.0,1.0,1.0,3.0,"LowTempoController, ChaosInducer",0
2000-2001_Charlton_Bradford,2000-2001,11,Charlton,Bradford,H,2,23.0,9.0,1.0,1.0,3.0,"AggressiveTackler, ChaosInducer",1
2000-2001_Coventry_Man United,2000-2001,11,Coventry,Man United,A,3,15.0,12.0,2.0,0.0,2.0,"Disciplined, LowTempoController",0
2000-2001_Leeds_Liverpool,2000-2001,11,Leeds,Liverpool,H,7,24.0,14.0,5.0,0.0,5.0,"RiskTaker, HighPressure, ChaosInducer, LowTempoController",1
2000-2001_Man City_Leicester,2000-2001,11,Man City,Leicester,A,1,17.0,13.0,3.0,0.0,3.0,"LowTempoController, LowTempoController",0
2000-2001_Middlesbrough_Arsenal,2000-2001,11,Middlesbrough,Arsenal,A,1,15.0,13.0,2.0,1.0,4.0,"LowTempoController, RiskTaker",0
2000-2001_Newcastle_Ipswich,2000-2001,11,Newcastle,Ipswich,H,3,19.0,11.0,1.0,0.0,1.0,"Disciplined, LowTempoController",0
2000-2001_Southampton_Chelsea,2000-2001,11,Southampton,Chelsea,H,5,19.0,14.0,6.0,0.0,6.0,"AggressiveTackler, ChaosInducer, LowTempoController",1
2000-2001_Tottenham_Sunderland,2000-2001,11,Tottenham,Sunderland,H,3,23.0,15.0,1.0,1.0,3.0,"HighPressure, LowTempoController",0
2000-2001_Everton_Aston Villa,2000-2001,11,Everton,Aston Villa,A,1,18.0,8.0,5.0,0.0,5.0,"RiskTaker, AggressiveTackler",1
2000-2001_Derby_West Ham,2000-2001,11,Derby,West Ham,D,0,20.0,7.0,2.0,0.0,2.0,"Disciplined, RiskTaker",0
2000-2001_Arsenal_Derby,2000-2001,12,Arsenal,Derby,D,0,24.0,10.0,2.0,0.0,2.0,"Disciplined, Disciplined",0
2000-2001_Aston Villa_Tottenham,2000-2001,12,Aston Villa,Tottenham,H,2,14.0,11.0,3.0,0.0,3.0,"LowTempoController, RiskTaker",0
2000-2001_Bradford_Everton,2000-2001,12,Bradford,Everton,A,1,20.0,6.0,3.0,0.0,3.0,"ChaosInducer, ChaosInducer",0
2000-2001_Ipswich_Charlton,2000-2001,12,Ipswich,Charlton,H,2,37.0,16.0,2.0,0.0,2.0,"HighPressure, Disciplined, Opportunistic",0
2000-2001_Leicester_Newcastle,2000-2001,12,Leicester,Newcastle,D,2,15.0,3.0,2.0,0.0,2.0,"Disciplined, DirectPlay",0
2000-2001_Man United_Middlesbrough,2000-2001,12,Man United,Middlesbrough,H,3,23.0,10.0,0.0,0.0,0.0,"Disciplined, ChaosInducer",0
2000-2001_Sunderland_Southampton,2000-2001,12,Sunderland,Southampton,D,4,21.0,11.0,2.0,0.0,2.0,"Disciplined, LowTempoController",0
2000-2001_West Ham_Man City,2000-2001,12,West Ham,Man City,H,5,32.0,12.0,2.0,0.0,2.0,"RiskTaker, HighPressure, Disciplined",0
2000-2001_Chelsea_Leeds,2000-2001,12,Chelsea,Leeds,D,2,23.0,5.0,8.0,0.0,8.0,"AggressiveTackler, ChaosInducer",1
2000-2001_Liverpool_Coventry,2000-2001,12,Liverpool,Coventry,H,5,29.0,8.0,1.0,0.0,1.0,"RiskTaker, Disciplined",0
2000-2001_Charlton_Chelsea,2000-2001,13,Charlton,Chelsea,H,2,23.0,9.0,5.0,0.0,5.0,"DirectPlay, ChaosInducer",0
2000-2001_Derby_Bradford,2000-2001,13,Derby,Bradford,H,2,14.0,6.0,4.0,0.0,4.0,"Disciplined, Opportunistic",0
2000-2001_Everton_Arsenal,2000-2001,13,Everton,Arsenal,H,2,8.0,8.0,4.0,0.0,4.0,"LowTempoController, DirectPlay",0
2000-2001_Leeds_West Ham,2000-2001,13,Leeds,West Ham,A,1,19.0,4.0,2.0,0.0,2.0,"Disciplined, HighPressure",0
2000-2001_Man City_Man United,2000-2001,13,Man City,Man United,A,1,18.0,21.0,4.0,0.0,4.0,"HighPressure, LowTempoController",0
2000-2001_Middlesbrough_Leicester,2000-2001,13,Middlesbrough,Leicester,A,3,20.0,8.0,4.0,0.0,4.0,"LowTempoController, AggressiveTackler",0
2000-2001_Newcastle_Sunderland,2000-2001,13,Newcastle,Sunderland,A,3,28.0,5.0,4.0,0.0,4.0,"RiskTaker, ChaosInducer",1
2000-2001_Southampton_Aston Villa,2000-2001,13,Southampton,Aston Villa,H,2,16.0,6.0,0.0,0.0,0.0,"Disciplined, RiskTaker",0
2000-2001_Tottenham_Liverpool,2000-2001,13,Tottenham,Liverpool,H,3,15.0,11.0,3.0,0.0,3.0,"LowTempoController, Opportunistic",0
2000-2001_Coventry_Ipswich,2000-2001,13,Coventry,Ipswich,A,1,22.0,10.0,2.0,0.0,2.0,"Disciplined, ChaosInducer",0
2000-2001_Charlton_Sunderland,2000-2001,14,Charlton,Sunderland,A,1,18.0,15.0,1.0,0.0,1.0,"Disciplined, LowTempoController",0
2000-2001_Coventry_Aston Villa,2000-2001,14,Coventry,Aston Villa,D,2,17.0,7.0,3.0,0.0,3.0,"RiskTaker, LowTempoController",0
2000-2001_Derby_Man United,2000-2001,14,Derby,Man United,A,3,13.0,12.0,3.0,0.0,3.0,"LowTempoController, LowTempoController",0
2000-2001_Everton_Chelsea,2000-2001,14,Everton,Chelsea,H,3,21.0,5.0,3.0,1.0,5.0,"ChaosInducer, LowTempoController",0
2000-2001_Man City_Ipswich,2000-2001,14,Man City,Ipswich,A,5,20.0,11.0,2.0,0.0,2.0,"RiskTaker, Disciplined, LowTempoController",0
2000-2001_Middlesbrough_Bradford,2000-2001,14,Middlesbrough,Bradford,D,4,23.0,10.0,2.0,1.0,4.0,"ChaosInducer, RiskTaker",1
2000-2001_Southampton_West Ham,2000-2001,14,Southampton,West Ham,A,5,24.0,16.0,3.0,0.0,3.0,"RiskTaker, HighPressure, ChaosInducer, LowTempoController",1
2000-2001_Tottenham_Leicester,2000-2001,14,Tottenham,Leicester,H,3,26.0,13.0,4.0,1.0,6.0,"AggressiveTackler, HighPressure, ChaosInducer",1
2000-2001_Leeds_Arsenal,2000-2001,14,Leeds,Arsenal,H,1,21.0,12.0,8.0,0.0,8.0,"AggressiveTackler, ChaosInducer, LowTempoController",0
2000-2001_Newcastle_Liverpool,2000-2001,14,Newcastle,Liverpool,H,3,22.0,16.0,5.0,0.0,5.0,"HighPressure, ChaosInducer, LowTempoController",1
2000-2001_Arsenal_Southampton,2000-2001,15,Arsenal,Southampton,H,1,31.0,24.0,2.0,0.0,2.0,"HighPressure, Disciplined, LowTempoController, Opportunistic",0
2000-2001_Aston Villa_Newcastle,2000-2001,15,Aston Villa,Newcastle,D,2,17.0,10.0,3.0,0.0,3.0,"LowTempoController, ChaosInducer",0
2000-2001_Bradford_Coventry,2000-2001,15,Bradford,Coventry,H,3,23.0,17.0,5.0,0.0,5.0,"HighPressure, ChaosInducer, LowTempoController",0
2000-2001_Ipswich_Derby,2000-2001,15,Ipswich,Derby,A,1,14.0,7.0,2.0,0.0,2.0,"Disciplined, LowTempoController",0
2000-2001_Leicester_Leeds,2000-2001,15,Leicester,Leeds,H,4,20.0,6.0,3.0,1.0,5.0,"ChaosInducer, LowTempoController",0
2000-2001_Liverpool_Charlton,2000-2001,15,Liverpool,Charlton,H,3,20.0,11.0,2.0,0.0,2.0,"Disciplined, LowTempoController",0
2000-2001_Man United_Tottenham,2000-2001,15,Man United,Tottenham,H,2,21.0,12.0,3.0,0.0,3.0,"LowTempoController, Disciplined",0
2000-2001_West Ham_Middlesbrough,2000-2001,15,West Ham,Middlesbrough,H,1,19.0,12.0,5.0,1.0,7.0,"AggressiveTackler, LowTempoController",0
2000-2001_Chelsea_Man City,2000-2001,15,Chelsea,Man City,H,3,20.0,17.0,2.0,0.0,2.0,"HighPressure, Disciplined, LowTempoController",0
2000-2001_Sunderland_Everton,2000-2001,15,Sunderland,Everton,H,2,31.0,12.0,3.0,0.0,3.0,"HighPressure, Opportunistic",0
2000-2001_Arsenal_Newcastle,2000-2001,16,Arsenal,Newcastle,H,5,18.0,7.0,3.0,0.0,3.0,"ChaosInducer, DirectPlay",0
2000-2001_Bradford_Tottenham,2000-2001,16,Bradford,Tottenham,D,6,19.0,9.0,2.0,0.0,2.0,"RiskTaker, ChaosInducer, Disciplined",1
2000-2001_Charlton_Man United,2000-2001,16,Charlton,Man United,D,6,30.0,15.0,1.0,0.0,1.0,"RiskTaker, HighPressure, Disciplined",0
2000-2001_Chelsea_Derby,2000-2001,16,Chelsea,Derby,H,5,24.0,9.0,0.0,0.0,0.0,"RiskTaker, Disciplined",0
2000-2001_Man City_Everton,2000-2001,16,Man City,Everton,H,5,27.0,18.0,1.0,0.0,1.0,"RiskTaker, HighPressure, Disciplined, LowTempoController",0
2000-2001_Southampton_Leeds,2000-2001,16,Southampton,Leeds,H,1,25.0,12.0,7.0,1.0,9.0,"AggressiveTackler, ChaosInducer",1
2000-2001_Sunderland_Middlesbrough,2000-2001,16,Sunderland,Middlesbrough,H,1,16.0,8.0,4.0,0.0,4.0,"LowTempoController, RiskTaker",0
2000-2001_West Ham_Aston Villa,2000-2001,16,West Ham,Aston Villa,D,2,28.0,8.0,4.0,0.0,4.0,"Opportunistic, RiskTaker",0
2000-2001_Coventry_Leicester,2000-2001,16,Coventry,Leicester,H,1,18.0,18.0,1.0,0.0,1.0,"HighPressure, Disciplined, LowTempoController",0
2000-2001_Liverpool_Ipswich,2000-2001,16,Liverpool,Ipswich,A,1,25.0,13.0,4.0,0.0,4.0,"HighPressure, ChaosInducer",0
2000-2001_Aston Villa_Man City,2000-2001,17,Aston Villa,Man City,D,4,19.0,9.0,3.0,1.0,5.0,"ChaosInducer, RiskTaker",1
2000-2001_Derby_Coventry,2000-2001,17,Derby,Coventry,H,1,18.0,8.0,4.0,0.0,4.0,"RiskTaker, LowTempoController",0
2000-2001_Everton_West Ham,2000-2001,17,Everton,West Ham,D,2,24.0,16.0,3.0,0.0,3.0,"HighPressure, LowTempoController",0
2000-2001_Ipswich_Southampton,2000-2001,17,Ipswich,Southampton,H,4,28.0,7.0,3.0,0.0,3.0,"RiskTaker, ChaosInducer",1
2000-2001_Leeds_Sunderland,2000-2001,17,Leeds,Sunderland,H,2,34.0,13.0,7.0,0.0,7.0,"AggressiveTackler, HighPressure, ChaosInducer, Opportunistic",1
2000-2001_Leicester_Charlton,2000-2001,17,Leicester,Charlton,H,4,21.0,10.0,3.0,0.0,3.0,"LowTempoController, DirectPlay",0
